name,city,iata,latitude,longitude,altitude_m,state,passengers_2024
Blackwater Airport,Blackwater,BLT,-23.603099822998047,148.8070068359375,200.0,,
Carnarvon Airport,Carnarvon,CVQ,-24.880211,113.67174,4.0,,26493.0
Cobar Airport,Cobar,CAZ,-31.538299560546875,145.79400634765625,221.0,,
Coober Pedy Airport,Coober Pedy,CPD,-29.040000915527344,134.7209930419922,226.0,,
Coconut Island Airport,Coconut Island,CNC,-10.050000190734863,143.07000732421875,1.0,,
Cloncurry Airport,Cloncurry,CNJ,-20.6686000824,140.503997803,188.0,,60579.0
Ceduna Airport,Ceduna,CED,-32.13059997558594,133.7100067138672,23.0,,19533.0
Cooktown Airport,Cooktown,CTN,-15.444700241088867,145.1840057373047,8.0,,19147.0
Cunnamulla Airport,Cunnamulla,CMA,-28.030000686645508,145.6219940185547,192.0,,
Coonamble Airport,Coonamble,CNB,-30.983299255371097,148.37600708007812,184.0,,
Coen Airport,Coen,CUQ,-13.761133,143.113311,162.0,,
Cooma Snowy Mountains Airport,Cooma,OOM,-36.3005981445,148.973999023,941.0,,
Doomadgee Airport,Doomadgee,DMD,-17.9403,138.822006,47.0,,8274.0
Darnley Island Airport,Darnley Island,NLF,-9.583330154418944,143.76699829101562,0.0,,
Devonport Airport,Devonport,DPO,-41.1697006226,146.429992676,10.0,,121562.0
Elcho Island Airport,Elcho Island,ELC,-12.019399642899998,135.570999146,31.0,,9687.0
Esperance Airport,Esperance,EPR,-33.684399,121.822998,143.0,,54062.0
Flinders Island Airport,Flinders Island,FLS,-40.0917015076,147.992996216,3.0,,21131.0
Geraldton Airport,Geraldton,GET,-28.796101,114.707001,37.0,,109887.0
Gladstone Airport,Gladstone,GLT,-23.869699,151.223007,20.0,,240229.0
Groote Eylandt Airport,Groote Eylandt,GTE,-13.9750003815,136.460006714,16.0,,49545.0
Griffith Airport,Griffith,GFF,-34.2508010864,146.067001343,134.0,,67478.0
Horn Island Airport,Horn Island,HID,-10.586400032,142.289993286,13.0,,
Hooker Creek Airport,Hooker Creek,HOK,-18.3367004395,130.638000488,98.0,,
Mount Hotham Airport,Mount Hotham,MHU,-37.0475006104,147.333999634,1298.0,,
Hughenden Airport,Hughenden,HGD,-20.815000534057617,144.22500610351562,318.0,,
Julia Creek Airport,Julia Creek,JCK,-20.66830062866211,141.72300720214844,123.0,,
Kalbarri Airport,Kalbarri,KAX,-27.692813,114.259169,48.0,,
