airport,year,passengers
MELBOURNE,2019-20,18851200
MELBOURNE,2020-21,5889649
MELBOURNE,2021-22,10920847
MELBOURNE,2022-23,22328983
MELBOURNE,2023-24,23879584
PERTH,2000-01,3554930
PERTH,2001-02,3168747
PERTH,2002-03,3615822
PERTH,2003-04,4154561
PERTH,2004-05,4579101
PERTH,2005-06,5025504
PERTH,2006-07,5785370
PERTH,2007-08,6474249
PERTH,2008-09,6759279
PERTH,2009-10,7010711
PERTH,2010-11,7644447
PERTH,2011-12,8527036
PERTH,2012-13,9090269
PERTH,2013-14,8880149
PERTH,2014-15,8545141
PERTH,2015-16,8284939
PERTH,2016-17,8026092
PERTH,2017-18,8064113
PERTH,2018-19,8071468
PERTH,2019-20,6137146
PERTH,2020-21,3174324
PERTH,2021-22,4275239
PERTH,2022-23,7978005
PERTH,2023-24,8456662
SYDNEY,2000-01,17276126
SYDNEY,2001-02,15181956
SYDNEY,2002-03,15693539
SYDNEY,2003-04,17495258
SYDNEY,2004-05,18679474
SYDNEY,2005-06,19328709
SYDNEY,2006-07,20891777
SYDNEY,2007-08,22140124
SYDNEY,2008-09,22004344
SYDNEY,2009-10,23350952
SYDNEY,2010-11,24314054
SYDNEY,2011-12,23969494
SYDNEY,2012-13,24984953
SYDNEY,2013-14,25390865
SYDNEY,2014-15,25513348
SYDNEY,2015-16,26563235
SYDNEY,2016-17,27054460
SYDNEY,2017-18,27603837
SYDNEY,2018-19,27468585
SYDNEY,2019-20,20070432
SYDNEY,2020-21,7269627
SYDNEY,2021-22,10610158
SYDNEY,2022-23,23257644
SYDNEY,2023-24,24720397
