name,city,iata,icao,latitude,longitude,altitude_m,state
Lismore Airport,Lismore,LSY,YLIS,-28.8302993774,153.259994507,11.0,
Lightning Ridge Airport,Lightning Ridge,LHG,YLRD,-29.45669937133789,147.98399353027344,165.0,
Longreach Airport,Longreach,LRE,YLRE,-23.4342002869,144.279998779,191.0,
Leinster Airport,Leinster,LER,YLST,-27.843299865722656,120.7030029296875,497.0,
Laverton Airport,Laverton,LVO,YLTN,-28.61359977722168,122.42400360107422,466.0,
Mabuiag Island Airport,Mabuiag Island,UBB,YMAA,-9.949999809265137,142.18299865722656,0.0,
Meekatharra Airport,Meekatharra,MKR,YMEK,-26.6117000579834,118.5479965209961,522.0,
Merimbula Airport,Merimbula,MIM,YMER,-36.9085998535,149.901000977,2.0,
Milingimbi Airport,Milingimbi,MGT,YMGB,-12.0944004059,134.893997192,16.0,
Maningrida Airport,Maningrida,MNG,YMGD,-12.0560998917,134.23399353,37.0,
McArthur River Mine Airport,McArthur River Mine,MCV,YMHU,-16.4424991608,136.083999634,40.0,
Mildura Airport,Mildura,MQL,YMIA,-34.229198455799995,142.085998535,51.0,
Mount Magnet Airport,Mount Magnet,MMG,YMOG,-28.116100311279297,117.84200286865234,413.0,
Moree Airport,Moree,MRZ,YMOR,-29.498899459799997,149.845001221,214.0,
Moranbah Airport,Moranbah,MOV,YMRB,-22.057800293,148.07699585,235.0,
Moruya Airport,Moruya,MYA,YMRY,-35.8978004456,150.143997192,4.0,
Mount Gambier Airport,Mount Gambier,MGB,YMTG,-37.745601654052734,140.78500366210938,65.0,
Mornington Island Airport,Mornington Island,ONG,YMTI,-16.662500381469727,139.17799377441406,10.0,
Murray Island Airport,Murray Island,MYI,YMUI,-9.91666984558,144.054992676,91.0,
Maryborough Airport,Maryborough,MBH,YMYB,-25.5133,152.714996,12.0,
Narrandera Airport,Narrandera,NRA,YNAR,-34.7022018433,146.511993408,144.0,
Narrabri Airport,Narrabri,NAA,YNBR,-30.3192005157,149.82699585,240.0,
Normanton Airport,Normanton,NTN,YNTN,-17.68409,141.069664,22.0,
Newman Airport,Newman,ZNE,YNWN,-23.4178009033,119.803001404,525.0,
Olympic Dam Airport,Olympic Dam,OLP,YOLD,-30.485000610399997,136.876998901,105.0,
Port Augusta Airport,Argyle,PUG,YPAG,-32.506900787353516,137.7169952392578,17.0,
Palm Island Airport,Palm Island,PMK,YPAM,-18.755300521850582,146.58099365234375,9.0,
Paraburdoo Airport,Paraburdoo,PBO,YPBO,-23.1711006165,117.745002747,429.0,
Gove Airport,Gove,GOV,YPGV,-12.269399642899998,136.817993164,59.0,
Parkes Airport,Parkes,PKE,YPKS,-33.131401062,148.238998413,326.0,
Port Lincoln Airport,Port Lincoln,PLO,YPLC,-34.6053009033,135.880004883,11.0,
Pormpuraaw Airport,Pormpuraaw,EDR,YPMP,-14.896451,141.60908,3.0,
Port Macquarie Airport,Port Macquarie,PQQ,YPMQ,-31.4358005524,152.863006592,4.0,
Portland Airport,Portland,PTJ,YPOD,-38.31809997558594,141.4709930419922,81.0,
Quilpie Airport,Quilpie,ULP,YQLP,-26.612199783325195,144.2530059814453,200.0,
Ramingining Airport,Ramingining,RAM,YRNG,-12.356399536132812,134.8979949951172,63.0,
Roma Airport,Roma,RMA,YROM,-26.545000076300003,148.774993896,315.0,
St George Airport,St George,SGO,YSGE,-28.049699783325195,148.59500122070312,200.0,
Shark Bay Airport,Shark Bay,MJK,YSHK,-25.8938999176,113.577003479,34.0,
Saibai Island Airport,Saibai Island,SBR,YSII,-9.378330230710002,142.625,5.0,
Strahan Airport,Strahan,SRN,YSRN,-42.154998779296875,145.29200744628906,6.0,
Thargomindah Airport,Thargomindah,XTG,YTGM,-27.986400604248047,143.81100463867188,132.0,
Tennant Creek Airport,Tennant Creek,TCA,YTNK,-19.6343994140625,134.18299865722656,377.0,
Victoria River Downs Airport,Victoria River Downs,VCD,YVRD,-16.402124404907227,131.00497436523438,27.0,
Warraber Island Airport,Sue Islet,SYU,YWBS,-10.20829963684082,142.8249969482422,1.0,
Windorah Airport,Windorah,WNR,YWDH,-25.41309928894043,142.66700744628906,138.0,
Whyalla Airport,Whyalla,WYA,YWHA,-33.05889892578125,137.51400756835938,12.0,
Wiluna Airport,Wiluna,WUN,YWLU,-26.629199981689453,120.22100067138672,503.0,
Wollongong Airport,Wollongong,WOL,YWOL,-34.561100006103516,150.78900146484375,9.0,
Winton Airport,Winton,WIN,YWTN,-22.36359977722168,143.08599853515625,194.0,
Wynyard Airport,Burnie,BWT,YWYY,-40.9989013671875,145.7310028076172,19.0,
Yorke Island Airport,Yorke Island,OKR,YYKI,-9.752801,143.405673,3.0,
Yam Island Airport,Yam Island,XMY,YYMI,-9.90110969543457,142.7760009765625,0.0,
Mount Keith Airport,Mount Keith,WME,YMNE,-27.286399841308594,120.55500030517578,546.0,
Grafton Airport,Grafton,GFN,YGFN,-29.7593994140625,153.02999877929688,34.0,
Orange Airport,Orange,OAG,YORG,-33.3816986084,149.132995605,949.0,
Taree Airport,Taree,TRO,YTRE,-31.8885993958,152.514007568,12.0,
Goulburn Airport,Goulburn,GUL,YGLB,-34.810298919677734,149.7259979248047,653.0,
Cessnock Airport,Cessnock,CES,YCNK,-32.787498,151.341995,64.0,
Scone Airport,Scone,NSO,YSCO,-32.037200927734375,150.83200073242188,227.0,
Mudgee Airport,Mudgee,DGE,YMDG,-32.5625,149.610992432,471.0,
Maitland Airport,Maitland,MTL,YMND,-32.701265,151.492912,26.0,
Oceanside Municipal Airport,Fraser Island,OCN,KOKB,33.217300415039,-117.35399627686,9.0,
Bungle Bungle Airport,Bungle Bungle,,YBUU,-17.545299530029297,128.3070068359375,0.0,
Whitsunday Island Airport,Airlie Beach,WSY,YWHI,-20.27611,148.755,12.0,
RAAF Base Amberley,Amberley,,YAMB,-27.6406,152.712006,28.0,
Tindal Airport,Katherine,KTR,YPTN,-14.521100044250488,132.3780059814453,135.0,
"RAAF Williams, Laverton Base",Laverton,,YLVT,-37.86360168457031,144.74600219726562,5.0,
Nowra Airport,Nowra,NOA,YSNW,-34.94889831542969,150.53700256347656,122.0,
RAAF Base Pearce,Perth,,YPEA,-31.667800903320312,116.01499938964844,45.0,
Bendigo Airport,Bendigo,BXG,YBDG,-36.7393989563,144.330001831,215.0,
Toowoomba Airport,Toowoomba,TWB,YTWB,-27.542801,151.916,636.0,
Ballera Airport,Ballera,BBL,YLLE,-27.405633,141.809458,117.0,
Gatton Campus Airport,Gatton,,YGAT,-27.5604060653,152.340459824,0.0,
Barrow Island Airport,Barrow Island,BWB,YBWX,-20.86440086364746,115.40599822998048,8.0,
Derby Airport,Derby,DRB,YDBY,-17.3700008392334,123.66100311279295,7.0,
Walgett Airport,Walgett,WGE,YWLG,-30.032800674438477,148.12600708007812,134.0,
Bathurst Island Airport,Bathurst Island,BRT,YBTI,-11.769200325012209,130.6199951171875,20.0,
Dunk Island Airport,Dunk Island,DKI,YDKI,-17.9416999817,146.13999939,2.0,
Lizard Island Airport,Lizard Island,LZR,YLZI,-14.673273,145.454571,21.0,
Hamilton Airport,Hamilton,HLT,YHML,-37.64889907836914,142.06500244140625,245.0,
Halls Creek Airport,Halls Creek,HCQ,YHLC,-18.23390007019043,127.66999816894533,410.0,
Fitzroy Crossing Airport,Fitzroy Crossing,FIZ,YFTZ,-18.181900024414062,125.55899810791016,112.0,
Ravensthorpe Airport,Ravensthorpe,RVT,YNRV,-33.7971992493,120.208000183,60.0,
Geelong Airport,Geelong,GEX,YGLG,-38.224998474121094,144.33299255371094,13.0,
Penneshaw Airport,Penneshaw,PEA,YPSH,-35.7558462874,137.962875366,0.0,
Redcliffe Airport,Rothwell,,YRED,-27.20669937133789,153.0679931640625,1.0,
Phillip Island Airport,Phillip Island,,YPID,-38.52330017089844,145.32699584960938,4.0,
Cooinda Airport,Cooinda,CDA,YCOO,-12.903300285339355,132.53199768066406,4.0,
Jabiru Airport,Jabiru,JAB,YJAB,-12.658300399780272,132.89300537109375,26.0,
Telfer Airport,Telfer,TEF,YTEF,-21.71500015258789,122.22899627685548,296.0,
Renmark Airport,Renmark,RMK,YREN,-34.1963996887207,140.6739959716797,35.0,
