name,city,iata,icao,latitude,longitude,altitude_m,state
Utopia Airport,Utopia,,YUTP,-22.05500030517578,134.7899932861328,0.0,
Nyrripi Airport,Nyirripi,,YNRR,-22.645299911499023,130.56500244140625,0.0,
Amata Airport,Amata,AMT,YAMT,-26.108299255371097,131.20700073242188,212.0,
Erldunda Airport,Erldunda,EDD,YERL,-25.205799102800004,133.253997803,0.0,
Finke Airport,Finke,FIK,YFNE,-25.5946998596,134.582992554,0.0,
Nypari Airport,Angatja Homeland,,YNYP,-26.200000762939453,130.23300170898438,0.0,
Bowen Airport,Bowen,ZBO,YBWN,-20.018299102783203,148.21499633789062,2.0,
Boolgeeda,Brockman,OCM,YBGD,-22.54,117.275,570.0,
Coonawarra Airport,Coonawarra,,YCNQ,-37.28329849243164,140.8000030517578,0.0,
Naracoorte Airport,Naracoorte,NAC,YNRC,-36.98529815673828,140.72500610351562,52.0,
Caloundra Airport,Caloundra,CUD,YCDR,-26.799999237060547,153.10000610351562,4.0,
Croker Island Airport,Croker Island,CKI,YCKI,-11.164999961853027,132.48300170898438,5.0,
The Granites Airport,The Granites,,YTGT,-20.54829978942871,130.3470001220703,0.0,
Barimunya Airport,Barimunya,BYP,YBRY,-22.673900604248,119.16600036621,635.0,
Noonkanbah Airport,Noonkanbah,NKB,YNKA,-18.4946994781,124.851997375,0.0,
Umuwa Airport,Umuwa,,YUMU,-26.4867000579834,132.0399932861328,0.0,
Mount Weld Airport,Laverton,,YMNW,-28.771699905395508,122.44000244140624,0.0,
Kidston Airport,Kidston,,YKID,-18.8700008392334,144.17300415039062,151.0,
Mangalore Airport,Mangalore,,YMNG,-36.888301849365234,145.1840057373047,142.0,
